[u'1', u'2014-12-11', u'766.15', u'19.06', u'2.55 %', u'Banking']
[u'2', u'2014-12-14', u'809.65', u'43.5', u'5.68 %', u'Banking']
[u'3', u'2014-12-15', u'816.44', u'6.79', u'0.84 %', u'Banking']
[u'4', u'2014-12-16', u'810.17', u'-6.27', u'-0.77 %', u'Banking']
[u'5', u'2014-12-17', u'798.39', u'-11.78', u'-1.45 %', u'Banking']
[u'6', u'2014-12-18', u'801.78', u'3.39', u'0.42 %', u'Banking']
[u'7', u'2014-12-21', u'791.77', u'-10.01', u'-1.25 %', u'Banking']
[u'8', u'2014-12-22', u'777.82', u'-13.95', u'-1.76 %', u'Banking']
[u'9', u'2014-12-23', u'771.5', u'-6.32', u'-0.81 %', u'Banking']
[u'10', u'2014-12-24', u'785.72', u'14.22', u'1.84 %', u'Banking']
[u'11', u'2014-12-28', u'802.68', u'16.96', u'2.16 %', u'Banking']
[u'12', u'2014-12-29', u'804.57', u'1.89', u'0.24 %', u'Banking']
[u'13', u'2014-12-31', u'796.15', u'-8.42', u'-1.05 %', u'Banking']
[u'14', u'2015-01-01', u'800.75', u'4.6', u'0.58 %', u'Banking']
[u'15', u'2015-01-02', u'800.75', u'0', u'0 %', u'Banking']
[u'16', u'2015-01-04', u'814.22', u'13.47', u'1.68 %', u'Banking']
[u'17', u'2015-01-05', u'816.57', u'2.35', u'0.29 %', u'Banking']
[u'18', u'2015-01-06', u'810.97', u'-5.6', u'-0.69 %', u'Banking']
[u'19', u'2015-01-07', u'814.45', u'3.48', u'0.43 %', u'Banking']
[u'20', u'2015-01-08', u'819.83', u'5.38', u'0.66 %', u'Banking']
[u'21', u'2015-01-11', u'814.16', u'-5.67', u'-0.69 %', u'Banking']
[u'22', u'2015-01-12', u'810.98', u'-3.18', u'-0.39 %', u'Banking']
[u'23', u'2015-01-13', u'815.98', u'5', u'0.62 %', u'Banking']
[u'24', u'2015-01-14', u'816.74', u'0.76', u'0.09 %', u'Banking']
[u'25', u'2015-01-18', u'822.38', u'5.64', u'0.69 %', u'Banking']
[u'26', u'2015-01-19', u'859.27', u'36.89', u'4.49 %', u'Banking']
[u'27', u'2015-01-20', u'845.07', u'-14.2', u'-1.65 %', u'Banking']
[u'28', u'2015-01-22', u'840.77', u'-4.3', u'-0.51 %', u'Banking']
[u'29', u'2015-01-25', u'854.05', u'13.28', u'1.58 %', u'Banking']
[u'30', u'2015-01-26', u'856.57', u'2.52', u'0.29 %', u'Banking']
[u'31', u'2015-01-27', u'865.69', u'9.12', u'1.06 %', u'Banking']
[u'32', u'2015-01-28', u'880.97', u'15.28', u'1.77 %', u'Banking']
[u'33', u'2015-01-29', u'879.71', u'-1.26', u'-0.14 %', u'Banking']
[u'34', u'2015-02-01', u'885.86', u'6.15', u'0.7 %', u'Banking']
[u'35', u'2015-02-02', u'882.66', u'-3.2', u'-0.36 %', u'Banking']
[u'36', u'2015-02-03', u'876.72', u'-5.94', u'-0.67 %', u'Banking']
[u'37', u'2015-02-04', u'875.7', u'-1.02', u'-0.12 %', u'Banking']
[u'38', u'2015-02-05', u'869.69', u'-6.01', u'-0.69 %', u'Banking']
