[u'1', u'2014-12-11', u'2145.82', u'46.52', u'2.22 %', u'HydroPower']
[u'2', u'2014-12-14', u'2289.85', u'144.03', u'6.71 %', u'HydroPower']
[u'3', u'2014-12-15', u'2301.89', u'12.04', u'0.53 %', u'HydroPower']
[u'4', u'2014-12-16', u'2293.01', u'-8.88', u'-0.39 %', u'HydroPower']
[u'5', u'2014-12-17', u'2250.14', u'-42.87', u'-1.87 %', u'HydroPower']
[u'6', u'2014-12-18', u'2241.25', u'-8.89', u'-0.4 %', u'HydroPower']
[u'7', u'2014-12-21', u'2222.86', u'-18.39', u'-0.82 %', u'HydroPower']
[u'8', u'2014-12-22', u'2209.98', u'-12.88', u'-0.58 %', u'HydroPower']
[u'9', u'2014-12-23', u'2171.92', u'-38.06', u'-1.72 %', u'HydroPower']
[u'10', u'2014-12-24', u'2204.18', u'32.26', u'1.49 %', u'HydroPower']
[u'11', u'2014-12-28', u'2257.96', u'53.78', u'2.44 %', u'HydroPower']
[u'12', u'2014-12-29', u'2259.68', u'1.72', u'0.08 %', u'HydroPower']
[u'13', u'2014-12-31', u'2229.49', u'-30.19', u'-1.34 %', u'HydroPower']
[u'14', u'2015-01-01', u'2221.89', u'-7.6', u'-0.34 %', u'HydroPower']
[u'15', u'2015-01-02', u'', u'', u' %', u'HydroPower']
[u'16', u'2015-01-04', u'2245.25', u'23.36', u'1.05 %', u'HydroPower']
[u'17', u'2015-01-05', u'2254.83', u'9.58', u'0.43 %', u'HydroPower']
[u'18', u'2015-01-06', u'2246.48', u'-8.35', u'-0.37 %', u'HydroPower']
[u'19', u'2015-01-07', u'2282.85', u'36.37', u'1.62 %', u'HydroPower']
[u'20', u'2015-01-08', u'2294.94', u'12.09', u'0.53 %', u'HydroPower']
[u'21', u'2015-01-11', u'2298.4', u'3.46', u'0.15 %', u'HydroPower']
[u'22', u'2015-01-12', u'2285.82', u'-12.58', u'-0.55 %', u'HydroPower']
