[u'1', u'2014-12-11', u'870.63', u'15.12', u'1.77 %', u'489023 ', u'185511092.00 ', u'NEPSE']
[u'2', u'2014-12-14', u'910.01', u'39.38', u'4.52 %', u'1071345 ', u'282359394.00 ', u'NEPSE']
[u'3', u'2014-12-15', u'916.74', u'6.73', u'0.74 %', u'883047 ', u'357233142.00 ', u'NEPSE']
[u'4', u'2014-12-16', u'910.2', u'-6.54', u'-0.71 %', u'530353 ', u'201437776.00 ', u'NEPSE']
[u'5', u'2014-12-17', u'900.4', u'-9.8', u'-1.08 %', u'307617 ', u'157130977.00 ', u'NEPSE']
[u'6', u'2014-12-18', u'903.89', u'3.49', u'0.39 %', u'440357 ', u'146444693.00 ', u'NEPSE']
[u'7', u'2014-12-21', u'896.61', u'-7.28', u'-0.81 %', u'361299 ', u'138474249.00 ', u'NEPSE']
[u'8', u'2014-12-22', u'885.44', u'-11.17', u'-1.25 %', u'273264 ', u'147235829.00 ', u'NEPSE']
[u'9', u'2014-12-23', u'877.21', u'-8.23', u'-0.93 %', u'356056 ', u'160286937.00 ', u'NEPSE']
[u'10', u'2014-12-24', u'887.8', u'10.59', u'1.21 %', u'430608 ', u'177689223.00 ', u'NEPSE']
[u'11', u'2014-12-28', u'903.72', u'15.92', u'1.79 %', u'573869 ', u'306625449.00 ', u'NEPSE']
[u'12', u'2014-12-29', u'907.23', u'3.51', u'0.39 %', u'610543 ', u'226394132.00 ', u'NEPSE']
[u'13', u'2014-12-31', u'902.33', u'-4.9', u'-0.54 %', u'1063950 ', u'365010832.00 ', u'NEPSE']
[u'14', u'2015-01-01', u'903.68', u'1.35', u'0.15 %', u'541502 ', u'177095293.00 ', u'NEPSE']
[u'15', u'2015-01-02', u'903.68', u'0', u'0 %', u' ', u' ', u'NEPSE']
[u'16', u'2015-01-04', u'917.5', u'13.82', u'1.53 %', u'552852 ', u'266108841.00 ', u'NEPSE']
[u'17', u'2015-01-05', u'919.77', u'2.27', u'0.25 %', u'823235 ', u'311532447.00 ', u'NEPSE']
[u'18', u'2015-01-06', u'917.41', u'-2.36', u'-0.26 %', u'741929 ', u'252178887.00 ', u'NEPSE']
[u'19', u'2015-01-07', u'924.54', u'7.13', u'0.78 %', u'629444 ', u'260089561.00 ', u'NEPSE']
[u'20', u'2015-01-08', u'930.97', u'6.43', u'0.7 %', u'873491 ', u'281330376.00 ', u'NEPSE']
[u'21', u'2015-01-11', u'928.33', u'-2.64', u'-0.28 %', u'625398 ', u'265674605.00 ', u'NEPSE']
[u'22', u'2015-01-12', u'927.8', u'-0.53', u'-0.06 %', u'661137 ', u'220511698.00 ', u'NEPSE']
[u'23', u'2015-01-13', u'937.48', u'9.68', u'1.04 %', u'533990 ', u'235739894.00 ', u'NEPSE']
[u'24', u'2015-01-14', u'939.53', u'2.05', u'0.22 %', u'590384 ', u'249206787.00 ', u'NEPSE']
[u'25', u'2015-01-18', u'945.36', u'5.83', u'0.62 %', u'883646 ', u'498822221.00 ', u'NEPSE']
[u'26', u'2015-01-19', u'975.45', u'30.09', u'3.18 %', u'1594634 ', u'863247021.00 ', u'NEPSE']
[u'27', u'2015-01-20', u'962.8', u'-12.65', u'-1.3 %', u'622863 ', u'288983439.00 ', u'NEPSE']
[u'28', u'2015-01-22', u'959.24', u'-3.56', u'-0.37 %', u'667192 ', u'238679988.00 ', u'NEPSE']
[u'29', u'2015-01-25', u'969.05', u'9.81', u'1.02 %', u'667921 ', u'263948063.00 ', u'NEPSE']
[u'30', u'2015-01-26', u'968.63', u'-0.42', u'-0.04 %', u'840590 ', u'328979272.00 ', u'NEPSE']
[u'31', u'2015-01-27', u'975.14', u'6.51', u'0.67 %', u'3252490 ', u'512906157.00 ', u'NEPSE']
[u'32', u'2015-01-28', u'988.07', u'12.93', u'1.33 %', u'786665 ', u'305334575.00 ', u'NEPSE']
[u'33', u'2015-01-29', u'986.66', u'-1.41', u'-0.14 %', u'1157885 ', u'358653761.00 ', u'NEPSE']
[u'34', u'2015-02-01', u'991.44', u'4.78', u'0.48 %', u'989737 ', u'335886025.00 ', u'NEPSE']
[u'35', u'2015-02-02', u'990.76', u'-0.68', u'-0.07 %', u'998433 ', u'324722019.00 ', u'NEPSE']
[u'36', u'2015-02-03', u'987.55', u'-3.21', u'-0.32 %', u'724091 ', u'310971170.00 ', u'NEPSE']
[u'37', u'2015-02-04', u'987.03', u'-0.52', u'-0.05 %', u'749308 ', u'332359021.00 ', u'NEPSE']
[u'38', u'2015-02-05', u'984.22', u'-2.81', u'-0.29 %', u'622234 ', u'267398265.00 ', u'NEPSE']
[u'39', u'2015-02-08', u'986.02', u'1.8', u'0.18 %', u'572024 ', u'273019350.00 ', u'NEPSE']
[u'40', u'2015-02-09', u'980.7', u'-5.32', u'-0.54 %', u'693704 ', u'316768120.00 ', u'NEPSE']
[u'41', u'2015-02-10', u'980.54', u'-0.16', u'-0.02 %', u'543424 ', u'255241177.96 ', u'NEPSE']
[u'42', u'2015-02-11', u'981.01', u'0.47', u'0.05 %', u'565285 ', u'227039899.87 ', u'NEPSE']
[u'43', u'2015-02-12', u'984.51', u'3.5', u'0.36 %', u'1033874 ', u'359445415.91 ', u'NEPSE']
[u'44', u'2015-02-15', u'989.87', u'5.36', u'0.54 %', u'703400 ', u'298882393.87 ', u'NEPSE']
[u'45', u'2015-02-16', u'987.05', u'-2.82', u'-0.29 %', u'824505 ', u'335611643.60 ', u'NEPSE']
[u'46', u'2015-02-18', u'982.65', u'-4.4', u'-0.45 %', u'682164 ', u'266283668.60 ', u'NEPSE']
[u'47', u'2015-02-22', u'971.47', u'-11.18', u'-1.14 %', u'587947 ', u'269542028.58 ', u'NEPSE']
[u'48', u'2015-02-23', u'973.95', u'2.48', u'0.26 %', u'673398 ', u'252348612.61 ', u'NEPSE']
[u'49', u'2015-02-24', u'970.77', u'-3.18', u'-0.33 %', u'479399 ', u'196533026.96 ', u'NEPSE']
[u'50', u'2015-02-25', u'970.62', u'-0.15', u'-0.02 %', u'463217 ', u'177068681.71 ', u'NEPSE']
[u'51', u'2015-02-26', u'979.27', u'8.65', u'0.89 %', u'645501 ', u'186899358.00 ', u'NEPSE']
[u'52', u'2015-03-01', u'975.67', u'-3.6', u'-0.37 %', u'562014 ', u'202750956.50 ', u'NEPSE']
[u'53', u'2015-03-02', u'984.85', u'9.18', u'0.94 %', u'778239 ', u'236613037.35 ', u'NEPSE']
[u'54', u'2015-03-03', u'981.42', u'-3.43', u'-0.35 %', u'710554 ', u'216832843.00 ', u'NEPSE']
[u'55', u'2015-03-04', u'983.49', u'2.07', u'0.21 %', u'607027 ', u'258585219.70 ', u'NEPSE']
[u'56', u'2015-03-05', u'', u'', u' %', u' ', u' ', u'NEPSE']
[u'57', u'2015-03-06', u'983.49', u'0', u'0 %', u' ', u' ', u'NEPSE']
[u'58', u'2015-03-09', u'988.77', u'5.28', u'0.54 %', u'828324 ', u'309432828.65 ', u'NEPSE']
[u'59', u'2015-03-10', u'984.43', u'-4.34', u'-0.44 %', u'700482 ', u'236670166.32 ', u'NEPSE']
[u'60', u'2015-03-11', u'984.06', u'-0.37', u'-0.04 %', u'697908 ', u'310285008.64 ', u'NEPSE']
[u'61', u'2015-03-12', u'978.44', u'-5.62', u'-0.57 %', u'570330 ', u'197401540.90 ', u'NEPSE']
[u'62', u'2015-03-15', u'970.68', u'-7.76', u'-0.79 %', u'294565 ', u'109894844.95 ', u'NEPSE']
[u'63', u'2015-03-16', u'959.14', u'-11.54', u'-1.19 %', u'453475 ', u'171329323.25 ', u'NEPSE']
[u'64', u'2015-03-17', u'963.46', u'4.32', u'0.45 %', u'337163 ', u'171190763.98 ', u'NEPSE']
[u'65', u'2015-03-18', u'964.24', u'0.78', u'0.08 %', u'545754 ', u'193251546.85 ', u'NEPSE']
[u'66', u'2015-03-19', u'967.62', u'3.38', u'0.35 %', u'542241 ', u'206699653.75 ', u'NEPSE']
[u'67', u'2015-03-22', u'964.12', u'-3.5', u'-0.36 %', u'513612 ', u'185019321.25 ', u'NEPSE']
[u'68', u'2015-03-23', u'956.59', u'-7.53', u'-0.78 %', u'394335 ', u'186945933.60 ', u'NEPSE']
[u'69', u'2015-03-24', u'953.84', u'-2.75', u'-0.29 %', u'620055 ', u'213195774.20 ', u'NEPSE']
[u'70', u'2015-03-25', u'951.29', u'-2.55', u'-0.27 %', u'381169 ', u'181406894.47 ', u'NEPSE']
[u'71', u'2015-03-26', u'942.4', u'-8.89', u'-0.93 %', u'526859 ', u'272430743.07 ', u'NEPSE']
[u'72', u'2015-03-29', u'942.3', u'-0.1', u'-0.01 %', u'261620 ', u'121604845.35 ', u'NEPSE']
[u'73', u'2015-03-30', u'939.1', u'-3.2', u'-0.34 %', u'277283 ', u'115650699.11 ', u'NEPSE']
[u'74', u'2015-03-31', u'945.74', u'6.64', u'0.71 %', u'541868 ', u'166383032.24 ', u'NEPSE']
[u'75', u'2015-04-01', u'939.54', u'-6.2', u'-0.66 %', u'383837 ', u'122701026.10 ', u'NEPSE']
[u'76', u'2015-04-02', u'940.09', u'0.55', u'0.06 %', u'394558 ', u'141453109.09 ', u'NEPSE']
[u'77', u'2015-04-05', u'934.25', u'-5.84', u'-0.62 %', u'589125 ', u'103278643.41 ', u'NEPSE']
[u'78', u'2015-04-06', u'938.12', u'3.87', u'0.41 %', u'575549 ', u'171629107.12 ', u'NEPSE']
[u'79', u'2015-04-07', u'935.53', u'-2.59', u'-0.28 %', u'312115 ', u'131610518.73 ', u'NEPSE']
[u'80', u'2015-04-08', u'942.15', u'6.62', u'0.71 %', u'505397 ', u'216948358.92 ', u'NEPSE']
[u'81', u'2015-04-09', u'946.89', u'4.74', u'0.5 %', u'389059 ', u'175099625.20 ', u'NEPSE']
[u'82', u'2015-04-12', u'952.03', u'5.14', u'0.54 %', u'430339 ', u'200107712.35 ', u'NEPSE']
[u'83', u'2015-04-13', u'948.36', u'-3.67', u'-0.39 %', u'745011 ', u'207495329.59 ', u'NEPSE']
[u'84', u'2015-04-15', u'944.13', u'-4.23', u'-0.45 %', u'285065 ', u'117253270.60 ', u'NEPSE']
