[u'1', u'2014-12-11', u'186.73', u'3.38', u'1.84 %', u'Sensitive']
[u'2', u'2014-12-14', u'195.73', u'9', u'4.82 %', u'Sensitive']
[u'3', u'2014-12-15', u'197.16', u'1.43', u'0.73 %', u'Sensitive']
[u'4', u'2014-12-16', u'196.02', u'-1.14', u'-0.58 %', u'Sensitive']
[u'5', u'2014-12-17', u'193.64', u'-2.38', u'-1.21 %', u'Sensitive']
[u'6', u'2014-12-18', u'194.24', u'0.6', u'0.31 %', u'Sensitive']
[u'7', u'2014-12-21', u'192.52', u'-1.72', u'-0.88 %', u'Sensitive']
[u'8', u'2014-12-22', u'189.9', u'-2.62', u'-1.36 %', u'Sensitive']
[u'9', u'2014-12-23', u'188.14', u'-1.76', u'-0.93 %', u'Sensitive']
[u'10', u'2014-12-24', u'190.57', u'2.43', u'1.29 %', u'Sensitive']
[u'11', u'2014-12-28', u'194.26', u'3.69', u'1.94 %', u'Sensitive']
[u'12', u'2014-12-29', u'195.25', u'0.99', u'0.51 %', u'Sensitive']
[u'13', u'2014-12-31', u'193.7', u'-1.55', u'-0.79 %', u'Sensitive']
[u'14', u'2015-01-01', u'193.93', u'0.23', u'0.12 %', u'Sensitive']
[u'15', u'2015-01-02', u'193.93', u'0', u'0 %', u'Sensitive']
[u'16', u'2015-01-04', u'196.48', u'2.55', u'1.31 %', u'Sensitive']
[u'17', u'2015-01-05', u'197.03', u'0.55', u'0.28 %', u'Sensitive']
[u'18', u'2015-01-06', u'196.31', u'-0.72', u'-0.37 %', u'Sensitive']
[u'19', u'2015-01-07', u'197.65', u'1.34', u'0.68 %', u'Sensitive']
[u'20', u'2015-01-08', u'198.92', u'1.27', u'0.64 %', u'Sensitive']
[u'21', u'2015-01-11', u'197.88', u'-1.04', u'-0.52 %', u'Sensitive']
[u'22', u'2015-01-12', u'197.83', u'-0.05', u'-0.02 %', u'Sensitive']
[u'23', u'2015-01-13', u'199.59', u'1.76', u'0.89 %', u'Sensitive']
[u'24', u'2015-01-14', u'200.09', u'0.5', u'0.25 %', u'Sensitive']
[u'25', u'2015-01-18', u'201.16', u'1.07', u'0.54 %', u'Sensitive']
[u'26', u'2015-01-19', u'208.07', u'6.91', u'3.44 %', u'Sensitive']
[u'27', u'2015-01-20', u'205.37', u'-2.7', u'-1.3 %', u'Sensitive']
[u'28', u'2015-01-22', u'204.65', u'-0.72', u'-0.35 %', u'Sensitive']
[u'29', u'2015-01-25', u'207.13', u'2.48', u'1.21 %', u'Sensitive']
[u'30', u'2015-01-26', u'206.87', u'-0.26', u'-0.12 %', u'Sensitive']
[u'31', u'2015-01-27', u'208.36', u'1.49', u'0.72 %', u'Sensitive']
[u'32', u'2015-01-28', u'211.23', u'2.87', u'1.38 %', u'Sensitive']
[u'33', u'2015-01-29', u'211.05', u'-0.18', u'-0.08 %', u'Sensitive']
[u'34', u'2015-02-01', u'212.24', u'1.19', u'0.56 %', u'Sensitive']
[u'35', u'2015-02-02', u'211.91', u'-0.33', u'-0.15 %', u'Sensitive']
[u'36', u'2015-02-03', u'211.23', u'-0.68', u'-0.32 %', u'Sensitive']
[u'37', u'2015-02-04', u'210.95', u'-0.28', u'-0.13 %', u'Sensitive']
[u'38', u'2015-02-05', u'210.23', u'-0.72', u'-0.34 %', u'Sensitive']
[u'39', u'2015-02-08', u'210.46', u'0.23', u'0.11 %', u'Sensitive']
[u'40', u'2015-02-09', u'209.25', u'-1.21', u'-0.58 %', u'Sensitive']
[u'41', u'2015-02-10', u'209.08', u'-0.17', u'-0.08 %', u'Sensitive']
[u'42', u'2015-02-11', u'209.13', u'0.05', u'0.02 %', u'Sensitive']
[u'43', u'2015-02-12', u'209.7', u'0.57', u'0.27 %', u'Sensitive']
[u'44', u'2015-02-15', u'210.45', u'0.75', u'0.36 %', u'Sensitive']
[u'45', u'2015-02-16', u'209.69', u'-0.76', u'-0.36 %', u'Sensitive']
[u'46', u'2015-02-18', u'208.76', u'-0.93', u'-0.44 %', u'Sensitive']
[u'47', u'2015-02-22', u'205.97', u'-2.79', u'-1.33 %', u'Sensitive']
[u'48', u'2015-02-23', u'206.68', u'0.71', u'0.35 %', u'Sensitive']
[u'49', u'2015-02-24', u'205.86', u'-0.82', u'-0.4 %', u'Sensitive']
[u'50', u'2015-02-25', u'205.85', u'-0.01', u'0 %', u'Sensitive']
[u'51', u'2015-02-26', u'207.48', u'1.63', u'0.79 %', u'Sensitive']
[u'52', u'2015-03-01', u'206.83', u'-0.65', u'-0.31 %', u'Sensitive']
[u'53', u'2015-03-02', u'208.81', u'1.98', u'0.96 %', u'Sensitive']
[u'54', u'2015-03-03', u'208.03', u'-0.78', u'-0.37 %', u'Sensitive']
[u'55', u'2015-03-04', u'208.62', u'0.59', u'0.28 %', u'Sensitive']
[u'56', u'2015-03-05', u'', u'', u' %', u'Sensitive']
[u'57', u'2015-03-06', u'208.62', u'0', u'0 %', u'Sensitive']
[u'58', u'2015-03-09', u'209.86', u'1.24', u'0.59 %', u'Sensitive']
[u'59', u'2015-03-10', u'209.19', u'-0.67', u'-0.32 %', u'Sensitive']
[u'60', u'2015-03-11', u'209.13', u'-0.06', u'-0.03 %', u'Sensitive']
[u'61', u'2015-03-12', u'208.08', u'-1.05', u'-0.5 %', u'Sensitive']
[u'62', u'2015-03-15', u'206.79', u'-1.29', u'-0.62 %', u'Sensitive']
[u'63', u'2015-03-16', u'203.87', u'-2.92', u'-1.41 %', u'Sensitive']
[u'64', u'2015-03-17', u'205.03', u'1.16', u'0.57 %', u'Sensitive']
[u'65', u'2015-03-18', u'204.89', u'-0.14', u'-0.07 %', u'Sensitive']
[u'66', u'2015-03-19', u'205.75', u'0.86', u'0.42 %', u'Sensitive']
[u'67', u'2015-03-22', u'205.19', u'-0.56', u'-0.27 %', u'Sensitive']
[u'68', u'2015-03-23', u'203.65', u'-1.54', u'-0.75 %', u'Sensitive']
[u'69', u'2015-03-24', u'203.12', u'-0.53', u'-0.26 %', u'Sensitive']
[u'70', u'2015-03-25', u'202.43', u'-0.69', u'-0.34 %', u'Sensitive']
[u'71', u'2015-03-26', u'200.19', u'-2.24', u'-1.11 %', u'Sensitive']
[u'72', u'2015-03-29', u'200.28', u'0.09', u'0.05 %', u'Sensitive']
[u'73', u'2015-03-30', u'199.75', u'-0.53', u'-0.26 %', u'Sensitive']
[u'74', u'2015-03-31', u'200.97', u'1.22', u'0.61 %', u'Sensitive']
[u'75', u'2015-04-01', u'199.81', u'-1.16', u'-0.58 %', u'Sensitive']
[u'76', u'2015-04-02', u'199.88', u'0.07', u'0.04 %', u'Sensitive']
[u'77', u'2015-04-05', u'198.61', u'-1.27', u'-0.63 %', u'Sensitive']
[u'78', u'2015-04-06', u'199.52', u'0.91', u'0.46 %', u'Sensitive']
[u'79', u'2015-04-07', u'198.97', u'-0.55', u'-0.28 %', u'Sensitive']
[u'80', u'2015-04-08', u'200.89', u'1.92', u'0.96 %', u'Sensitive']
[u'81', u'2015-04-09', u'201.88', u'0.99', u'0.49 %', u'Sensitive']
[u'82', u'2015-04-12', u'203.15', u'1.27', u'0.63 %', u'Sensitive']
[u'83', u'2015-04-13', u'202.26', u'-0.89', u'-0.44 %', u'Sensitive']
[u'84', u'2015-04-15', u'201.56', u'-0.7', u'-0.35 %', u'Sensitive']
[u'85', u'2015-04-16', u'203.01', u'1.45', u'0.72 %', u'Sensitive']
[u'86', u'2015-04-19', u'202.03', u'-0.98', u'-0.48 %', u'Sensitive']
[u'87', u'2015-04-20', u'202.02', u'-0.01', u'0 %', u'Sensitive']
[u'88', u'2015-04-21', u'202.39', u'0.37', u'0.18 %', u'Sensitive']
[u'89', u'2015-04-22', u'201.88', u'-0.51', u'-0.25 %', u'Sensitive']
[u'90', u'2015-04-23', u'201.43', u'-0.45', u'-0.22 %', u'Sensitive']
[u'91', u'2015-05-24', u'195.79', u'-5.64', u'-2.8 %', u'Sensitive']
[u'92', u'2015-05-25', u'189.25', u'-6.54', u'-3.34 %', u'Sensitive']
[u'93', u'2015-05-26', u'183.88', u'-5.37', u'-2.84 %', u'Sensitive']
[u'94', u'2015-05-27', u'178.9', u'-4.98', u'-2.71 %', u'Sensitive']
[u'95', u'2015-05-28', u'179.9', u'1', u'0.56 %', u'Sensitive']
[u'96', u'2015-05-31', u'187.15', u'7.25', u'4.03 %', u'Sensitive']
[u'97', u'2015-06-01', u'191.16', u'4.01', u'2.14 %', u'Sensitive']
[u'98', u'2015-06-02', u'192.92', u'1.76', u'0.92 %', u'Sensitive']
[u'99', u'2015-06-03', u'198.02', u'5.1', u'2.64 %', u'Sensitive']
[u'100', u'2015-06-04', u'198.13', u'0.11', u'0.06 %', u'Sensitive']
[u'101', u'2015-06-05', u'198.13', u'0', u'0 %', u'Sensitive']
[u'102', u'2015-06-07', u'199.12', u'0.99', u'0.5 %', u'Sensitive']
[u'103', u'2015-06-08', u'202.03', u'2.91', u'1.46 %', u'Sensitive']
